moller_no,gardiner_no,unicode_cp,unicode_char,jsesh,mdc,hieroglyphica,ifao,wikidata_id,wikidata_label,wikidata_image,tsl_id,desc,match_type
1,A26,U+1301E,𓀞,A26,A26,A26,"4,5",Q117876890,Servant,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A26.png,396,"Man, standing, right arm outstretched before him, with the left arm hanging beside the body.",matched
2,A30,U+13022,𓀢,A30,A30,A30,"6,4",Q108070997,Man worshiping,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A30.png,460,"Man, standing, both arms raised in front, hands held vertically, handpalms outwards.",matched
3,A??,,,,,,,,,,,,unknown
4,A28,U+13020,𓀠,A28,A28,A28,"5,11",Q117876990,Man with arms raised,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A28.png,422,"Man, standing, with arms raised at either side of the body , handpalms inwards.",matched
5,A31,U+13023,𓀣,A31,A31,A31,"4,16",,,,492,"Man, standing, head facing forwards, arms raised behind him, hand palms outwards.",matched
6,A32,U+13024,𓀤,A32,A32,A32,"29,9",,,,516,"Man, dancing, left leg straight, right knee in front of the left leg, right foot behind the left leg, toes at the hight of the left foot, right arm in front of the body, left arm raised at the back, hand at the hight of the head.",matched
7,A16,U+13013,𓀓,A16,A16,A16,"6,10",Q123414573,Q123414573,,234,"Man, standing, bend forwards, arms hanging downwards, extended towards the front.",matched
8,A16a,,,,,,,,,,,,unmatched
9,A81,,,,,,,,,,899,,unmatched
10,A53,U+1303E,𓀾,A53,A53,A53,"47,5",Q117877959,Mummy,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A53.png,,"A mummy with a long curved beard, standing upright.",matched
11,A21,U+13019,𓀙,A21,sr A21,A21,"8,15",Q117876272,Man with staff,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A21.png,303,"Man, standing, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",matched
12,A23,U+1301B,𓀛,A23,A23,A23,,,,,,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the hight of the shoulder, holding a staff with a triangular piece (point down) at the hight of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",matched
13,A19,U+13017,𓀗,A19,A19,,"9,7",,,,274,"Man, standing, with a bend back, right arm forward, holding a staff/stick near the top, left arm hanging beside the body.",matched
14,A19,U+13017,𓀗,A19,A19,,"9,7",,,,274,"Man, standing, with a bend back, right arm forward, holding a staff/stick near the top, left arm hanging beside the body.",matched
